         419927 function calls (406503 primitive calls) in 5.220 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       42    0.002    0.000    0.005    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/numpy/lib/arraysetops.py:373(intersect1d)
    72/36    0.001    0.000    0.012    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/transforms.py:2368(frozen)
  698/592    0.001    0.000    0.002    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/transforms.py:167(_invalidate_internal)
   114/57    0.001    0.000    0.005    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/transforms.py:2439(inverted)
      244    0.001    0.000    0.003    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/numpy/core/fromnumeric.py:40(_wrapit)
      217    0.001    0.000    0.001    0.000 /Users/guiguiclaudon/Documents/GitHub/Genetic-Programming/Modules/operation.py:127(soustraction)
  108/100    0.001    0.000    0.002    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/spines.py:339(get_spine_transform)
      412    0.001    0.000    0.006    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/transforms.py:1782(transform)
      152    0.001    0.000    0.003    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/transforms.py:1975(rotate)
       76    0.001    0.000    0.002    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/transforms.py:2487(get_matrix)
     2659    0.001    0.000    0.007    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/abc.py:117(__instancecheck__)
      614    0.001    0.000    0.002    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/contextlib.py:104(__init__)
      432    0.001    0.000    0.001    0.000 {built-in method builtins.min}
       17    0.001    0.000    0.003    0.000 /Users/guiguiclaudon/.vscode/extensions/ms-python.debugpy-2024.6.0-darwin-arm64/bundled/libs/debugpy/_vendored/pydevd/pydevd.py:1681(process_internal_commands)
      245    0.001    0.000    0.002    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/_api/__init__.py:64(check_isinstance)
      170    0.001    0.000    0.036    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/markers.py:225(__init__)
       35    0.001    0.000    0.015    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/path.py:502(contains_point)
      150    0.001    0.000    0.056    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/text.py:65(_get_text_metrics_with_cache)
     2739    0.001    0.000    0.001    0.000 {method 'pop' of 'list' objects}
